,author,date,likes,views
1169,Adar Cohen,October 2019,5.9K,197K
1170,Lara Maiklem,October 2019,298,9.9K
1171,Craig Costello,May 2019,67K,2.2M
1172,Peter Beck,April 2019,13K,445K
1173,Céline Valéry,November 2019,76K,2.5M
1174,Mani Vajipey,May 2019,8.5K,284K
1175,Dorsa Amir,November 2019,54K,1.8M
1176,Rabiaa El Garani,November 2018,53K,1.7M
1177,Kaitlyn Sadtler and Heather J. Faust,November 2019,14K,480K
1178,Amma Y. Ghartey-Tagoe Kootin,April 2019,63K,2.1M
1179,Ma Yansong,July 2019,12K,419K
1180,Eli Pariser,July 2019,61K,2M
1181,Martha Redbone,September 2019,287,9.5K
1182,Maria Popova,September 2019,150,5K
1183, Morley,September 2019,239,7.9K
1184,Paul A. Kramer,September 2019,62K,2M
1185,Laura Rovner,December 2018,70K,2.3M
1186,Lucas Husted,November 2019,41K,1.3M
1187,Tashka and Laura Yawanawá,September 2019,7K,234K
1188,David Carroll,March 2019,1.8K,60K
1189,Bhakti Sharma,November 2019,15K,513K
1190,Bill Keegan,November 2019,36K,1.2M
1191,Bob Langert,July 2019,46K,1.5M
1192,Sara-Jane Dunn,July 2019,77K,2.5M
1193,Lori Gottlieb,September 2019,158K,5.2M
1194,Chip Berlet,October 2019,114K,3.8M
1195,Daniel Streicker,November 2018,66K,2.2M
1196,Jess Kutch,April 2019,63K,2.1M
1197,The TED Interview,October 2019,259,8.6K
1198,Jacob Soboroff,April 2012,909,30K
1199,Toby Kiers,September 2019,58K,1.9M
1200,Hans Block and Moritz Riesewieck,November 2018,61K,2M
1201,Leila Pirhaji,April 2019,58K,1.9M
1202,Matthew Borths,October 2019,70K,2.3M
1203,Michael S.A. Graziano,October 2019,14K,477K
1204,Chris Fisher,June 2019,1.5K,52K
1205,Alisa Kazarina,June 2016,782,26K
1206,Alyssa Loorya,November 2014,865,28K
1207,Ella Al-Shamahi,April 2016,1.1K,37K
1208,Rose M. Mutiso,July 2019,61K,2M
1209,Andrew Nemr,April 2019,273,9.1K
1210,Hiromi Ozaki,April 2019,576,19K
1211,Alexis Gambis,April 2019,708,23K
1212,Beau Lotto and Cirque du Soleil,April 2019,12K,415K
1213,Abigail Spanberger,March 2019,1.6K,55K
1214,Claire Wardle,April 2019,61K,2M
1215,Adrienne Mayor,October 2019,78K,2.6M
1216,Ashwin Naidu,April 2019,54K,1.8M
1217,Jon M. Chu,April 2019,60K,2M
1218,Abhishek Gopalka,September 2019,61K,2M
1219,Fabio Pacucci,October 2019,95K,3.1M
1220,Janelle Shane,April 2019,86K,2.8M
1221,Becca McCharen-Tran,June 2019,59K,1.9M
1222,Elijah Cummings,March 2019,1.8K,62K
1223,TED-Ed,October 2019,34K,1.1M
1224,James Logan,May 2019,11K,372K
1225,Joy Wolfram,October 2018,12K,408K
1226,Bjarke Ingels,April 2019,1.1K,36K
1227,Ayana Elizabeth Johnson,April 2019,10K,358K
1228,Taneka Jones,October 2019,10K,348K
1229,Alasdair Harris,September 2019,61K,2M
1230,Tina Arrowood,September 2019,55K,1.8M
1231,Esther Meduna,May 2016,839,27K
1232,Richard Coffin,October 2019,42K,1.4M
1233,Sarah Kessans,August 2019,1.3K,44K
1234,Luis H. Zayas,September 2019,62K,2M
1235,Marcus Bullock,June 2019,55K,1.8M
1236,Julie Cordua,April 2019,54K,1.8M
1237,Alex Rosenthal,October 2019,18K,622K
1238,David Deutsch,April 2019,66K,2.2M
1239, First Aid Kit,April 2019,179,5.9K
1240, The Bloom Twins,June 2019,141,4.7K
1241,Adena Friedman,April 2019,1.6K,54K
1242,Judith Jamison and members of the Alvin Ailey American Dance Theater,April 2019,8.8K,294K
1243,Sheila Marie Orfano,October 2019,41K,1.3M
1244,Shannon Lee,June 2019,73K,2.4M
1245,Laura Boykin,July 2019,53K,1.7M
1246,Juan Enriquez,September 2019,60K,2M
1247,Zohreh Davoudi,October 2019,37K,1.2M
1248,Andrew Forrest,September 2019,87K,2.9M
1249,Gangadhar Patil,April 2019,49K,1.6M
1250,Herman Narula,April 2019,56K,1.8M
1251,Marlene Daut,October 2019,15K,505K
1252,Tara Djokic,May 2019,90K,3M
1253,Lucy Hone,August 2019,52K,1.7M
1254,Paul Rucker,July 2019,2.4K,80K
1255,Efosa Ojomo,June 2019,63K,2.1M
1256,David Peterson,March 2019,48K,1.6M
1257,Aracelis Girmay,October 2019,5.5K,185K
1258,Camilla Arndal Andersen,September 2019,112K,3.7M
1259,Mitchell Katz,November 2018,43K,1.4M
1260,Densho,October 2019,32K,1M
1261,Moreangels Mbizah,April 2019,58K,1.9M
1262,Mohammad Modarres,May 2019,58K,1.9M
1263,Alex Rosenthal,September 2019,42K,1.4M
1264,Sarah Sze,April 2019,9.8K,327K
1265,Antonio Garcia Vicente,November 2015,66K,2.2M
1266,Muthoni Drummer Queen,April 2019,7.6K,253K
1267,Sam Van Aken,June 2019,18K,607K
1268,Amber Stuver,September 2019,134K,4.4M
1269,Will Hurd,September 2019,56K,1.8M
1270,Yaniv Erlich,November 2018,58K,1.9M
1271,Laura Wright,September 2019,17K,597K
1272,Emily Nagoski,May 2019,100K,3.3M
1273,Hanna-Ilona Härmävaara,September 2019,51K,1.7M
1274,Tim Flannery,July 2019,94K,3.1M
1275,Safeena Husain,April 2019,53K,1.7M
1276,Sonaar Luthra,July 2019,97K,3.2M
1277,Richard Bona,April 2019,18K,631K
1278,Cindy Gallop,February 2009,72K,2.4M
1279,Christer Mjåset,May 2018,74K,2.4M
1280,Johann Hari,July 2019,416K,13M
1281,Federica Bianco,April 2019,57K,1.9M
1282,Philip Freeman,September 2019,42K,1.4M
1283,Patrick Chappatte,July 2019,15K,511K
1284,Kristie Ebi,April 2019,68K,2.2M
1285,Alex Gendler,September 2019,74K,2.4M
1286,Emmett Shear,April 2019,10K,342K
1287,Nick Hanauer,July 2019,148K,4.9M
1288,Raj Jayadev,March 2018,50K,1.6M
1289,Alex Gendler,September 2019,209K,6.9M
1290,David Wenham,May 2019,3.8K,127K
1291,Jacqueline Woodson,April 2019,83K,2.7M
1292,Danielle Citron,July 2019,101K,3.3M
1293,Sandeep Jauhar,July 2019,129K,4.3M
1294,Iseult Gillespie,September 2019,11K,393K
1295,Carl June,November 2018,58K,1.9M
1296,Clint Smith,September 2019,7.2K,240K
1297,Dr. Phillip Atiba Goff,April 2019,67K,2.2M
1298,Lorin Swint Matthews,September 2019,7.2K,243K
1299,Luisa Neubauer,July 2019,77K,2.5M
1300,Howard Taylor,July 2019,1K,33K
1301,Andrew Marantz,April 2019,68K,2.2M
1302,Anthony Veneziale,April 2019,14K,483K
1303,Emily F. Rothman,November 2018,98K,3.2M
1304,Iseult Gillespie,September 2019,42K,1.4M
1305,Jochen Wegner,July 2019,58K,1.9M
1306,Haaziq Kazi,December 2018,1.6K,54K
1307,Asmeret Asefaw Berhe,April 2019,60K,2M
1308,Yeonmi Park,April 2019,139K,4.6M
1309,Lee Thomas,June 2019,78K,2.6M
1310,Anne F. Broadbridge,August 2019,110K,3.6M
1311,Dessa,June 2018,127K,4.2M
1312,Kelly Wanser,July 2019,57K,1.9M
1313,Iseult Gillespie,August 2019,50K,1.6M
1314,Britt Wray,May 2019,74K,2.4M
1315,Luka Seamus Wright,August 2019,25K,842K
1316,Kishore Mahbubani,April 2019,67K,2.2M
1317,Alex Gendler,August 2019,17K,596K
1318,Pico Iyer,July 2019,68K,2.2M
1319,Bina Venkataraman,April 2019,77K,2.5M
1320,Judy Brewer,May 2019,1.1K,37K
1321,Eddie Jaku,May 2019,34K,1.1M
1322,Jon Lowenstein,July 2019,61K,2M
1323,Iseult Gillespie,August 2019,42K,1.4M
1324,Joseph Gordon-Levitt,April 2019,199K,6.6M
1325,Anita Collins,October 2014,8K,267K
1326,Sergio Feferovich,October 2012,10K,337K
1327,James Keblas,May 2019,131,4.3K
1328,Indre Viskontas,October 2016,2.3K,79K
1329,Sara Valencia Botto,March 2019,23K,793K
1330,Daniel Finkel,August 2019,39K,1.3M
1331,Chiara Decaroli,August 2019,12K,403K
1332,Ben Longdon,August 2019,48K,1.6M
1333,Shrabani Basu,August 2019,34K,1.1M
1334,Judy Cebra-Thomas,July 2019,24K,817K
1335,Soraya Field Fiorio,August 2019,43K,1.4M
1336,Marc Bamuthi Joseph,April 2019,102K,3.4M
1337,Margaret Heffernan,July 2019,112K,3.7M
1338,Victor Vescovo,April 2019,28K,955K
1339,Nanfu Wang,April 2019,100K,3.3M
1340,Nicola Sturgeon,July 2019,2.5K,85K
1341,Melissa Marquez,June 2017,973,32K
1342,Ethan Mann,June 2019,1.6K,55K
1343,Paul Cater Deaton,June 2016,130,4.3K
1344,Ocean Ramsey,September 2015,6.3K,211K
1345,Ivonne Roman,April 2019,58K,1.9M
1346,Nicola Sturgeon,July 2019,74K,2.4M
1347,George Monbiot,July 2019,114K,3.8M
1348,Bill Schutt,July 2019,115K,3.8M
1349,Tshering Tobgay,July 2019,62K,2M
1350,Albert-László Barabási,March 2019,103K,3.4M
1351,Ilan Stavans,July 2019,13K,444K
1352,Hajer Sharief,July 2019,110K,3.6M
1353,Jordyn Wieber,May 2019,3.7K,126K
1354,Rahul Mehrotra,April 2019,58K,1.9M
1355,Brian Janosch,April 2019,913,30K
1356,Taika Waititi,October 2010,66K,2.2M
1357,Douglas Thomas,October 2018,11K,382K
1358,Ramon Glazov,July 2019,80K,2.6M
1359,Elizabeth Howell,November 2018,59K,1.9M
1360,Claudia Miner,April 2019,69K,2.3M
1361,Melanie Nezer,March 2019,58K,1.9M
1362,Daniel Finkel,July 2019,34K,1.1M
1363,Derren Brown,April 2019,58K,1.9M
1364,Ilan Stavans,July 2019,10K,352K
1365,Ella Al-Shamahi,April 2019,71K,2.3M
1366,Sharmeen Obaid-Chinoy,April 2019,73K,2.4M
1367,Amy Padnani,June 2019,60K,2M
1368,Jamie Paik,April 2019,23K,786K
1369,Emma Bryce,July 2019,21K,725K
1370,Rick Doblin,April 2019,121K,4M
1371,Emma Lazarus,July 2019,6.7K,225K
1372,Barbara J. King,April 2019,104K,3.4M
1373,Jasmine Cho,June 2019,1.6K,54K
1374,Natalie Fratto,May 2019,112K,3.7M
1375,Julius Maada Bio,April 2019,55K,1.8M
1376,Moriba Jah,April 2019,54K,1.8M
1377,Camille Defrenne and Suzanne Simard,July 2019,25K,849K
1378,Megan Parker,October 2015,1.1K,39K
1379,Gregory Berns,April 2015,63K,2.1M
1380,Barbara Sherman,April 2017,19K,658K
1381,Julia Espinosa,March 2019,3.5K,118K
1382,Glenn Cantave,December 2018,13K,461K
1383,Matthew Shifrin,April 2019,1.5K,51K
1384,Jon Gray,April 2019,58K,1.9M
1385,Harrison Scott Key,June 2019,2.8K,94K
1386,Melvin Sanicas,June 2019,58K,1.9M
1387,Jonny Sun,April 2019,120K,4M
1388,Heidi Grant,June 2019,92K,3M
1389,Iseult Gillespie,June 2019,38K,1.2M
1390, Climbing PoeTree,November 2018,367,12K
1391,Ethan Lindenberger,April 2019,66K,2.2M
1392,Janelle Peters,June 2019,24K,808K
1393,Lindsay Amer,May 2019,76K,2.5M
1394,Drew Silverstein,May 2019,219,7.3K
1395,Brandon Clifford,April 2019,22K,765K
1396,Sarah Kay,April 2019,97K,3.2M
1397,Augusto Carballido,June 2019,15K,532K
1398,Lynn Rothschild,October 2018,11K,386K
1399,Suleika Jaouad,April 2019,139K,4.6M
1400,Graham Baird,June 2019,63K,2.1M
1401,Rob Reid,April 2019,70K,2.3M
1402,Ayana Elizabeth Johnson and Megan Davis,June 2019,15K,518K
1403,Kaitlyn Sadtler,June 2019,64K,2.1M
1404,David Baker,April 2019,63K,2.1M
1405,Steve Simpson,April 2019,1.6K,55K
1406,Michael Tubbs,April 2019,94K,3.1M
1407,Emeli Sandé,April 2019,1.3K,46K
1408,Daniel Lismore,April 2019,13K,443K
1409,Lucy Clayton,April 2019,2.3K,77K
1410,Truls Nord,November 2016,268,8.9K
1411,Stefen Chow,November 2015,252,8.4K
1412,Robert Frost,June 2019,37K,1.2M
1413,Brian A. Pavlac,June 2019,53K,1.7M
1414, Resistance Revival Chorus,December 2018,184,6.1K
1415,Marie Howe,December 2018,430,14K
1416,Mónica Ramírez,December 2018,246,8.2K
1417,Ryan Martin,August 2018,100K,3.3M
1418,James Logan,May 2019,347,11K
1419,Priya Parker,April 2019,75K,2.5M
1420,Philip A. Chan,June 2019,25K,866K
1421,Karen Lloyd,April 2019,62K,2M
1422,Cristin O'Keefe Aptowicz,June 2019,5.4K,182K
1423,Juna Kollmeier,April 2019,80K,2.6M
1424,The Nature Conservancy,April 2019,57K,1.9M
1425,Jeff Leek and Lucy McGowan,June 2019,23K,778K
1426,Michelle Kuo,September 2018,88K,2.9M
1427,William Shakespeare,June 2019,13K,437K
1428,David Brooks,April 2019,143K,4.7M
1429,Sajan Saini,June 2019,19K,634K
1430,Kate Bowler,December 2018,219K,7.3M
1431,Brendan Constantine,June 2019,14K,481K
1432,Miguel Alcubierre,September 2015,19K,644K
1433,Holley Moyes,October 2016,766,25K
1434,Dragana Rogulja,November 2015,842,28K
1435,Diane Knutson,June 2016,1.2K,41K
1436,Bjarke Ingels,April 2019,36K,1.2M
1437,William Butler Yeats,May 2019,9.2K,309K
1438,Roger Hanlon,April 2019,27K,932K
1439,Reniqua Allen,January 2019,67K,2.2M
1440,Andrea Gibson,May 2019,7.6K,255K
1441,Alex Gendler,May 2019,17K,582K
1442,Erika Hamden,April 2019,56K,1.8M
1443,Baratunde Thurston,April 2019,160K,5.3M
1444,Maeve Higgins,November 2018,533,17K
1445,Galit Ariel,November 2018,400,13K
1446,Beth Mortimer and Tarje Nissen-Meyer,November 2018,288,9.6K
1447,Nivruti Rai,November 2018,302,10K
1448,Chitra Aiyar,December 2018,1.3K,45K
1449,Stephen Doyle,November 2018,435,14K
1450,Neha Madhira and Haley Stack,November 2018,288,9.6K
1451,Simona Abdallah,November 2018,210,7K
1452, Flor de Toloache,November 2018,85,2.8K
1453,Ayanna Howard,November 2018,272,9K
1454,Rev. William Barber and Rev. Liz Theoharis,November 2018,377,12K
1455,Ane Brun,November 2018,242,8K
1456,Claire Simeone,May 2019,13K,450K
1457,Morgan Vague,October 2018,70K,2.3M
1458,Safia Elhillo,May 2019,9.9K,333K
1459,Kate E. Brandt,November 2018,1K,35K
1460,Shunan Teng,May 2019,66K,2.2M
1461,Jarrell Daniels,January 2019,60K,2M
1462,Scott Nguyen,April 2019,326,10K
1463,America Ferrera,April 2019,91K,3M
1464,Austin Eubanks,July 2017,23K,797K
1465,Liz Powers,November 2016,1.2K,42K
1466,Janne Willems,November 2014,1.7K,57K
1467,Wendell Pierce,September 2015,276,9.2K
1468,Winnie Harlow,October 2014,43K,1.4M
1469,Jess Thom,September 2013,18K,613K
1470,Hamdi Ulukaya,April 2019,129K,4.3M
1471,Bruce Friedrich,April 2019,72K,2.4M
1472,Jeff Leek and Lucy McGowan,May 2019,13K,436K
1473,Lucy Cooke,November 2018,19K,640K
1474,Joshua W. Pate,May 2019,49K,1.6M
1475,Brittany Packnett Cunningham,April 2019,195K,6.5M
1476,Katie Hood,April 2019,281K,9.3M
1477,Fabio Pacucci,May 2019,51K,1.7M
1478,Arnav Kapur,April 2019,22K,747K
1479,Suchitra Krishnan-Sarin,November 2018,82K,2.7M
1480,Alex Gendler,May 2019,86K,2.8M
1481,Carson Bruns,December 2018,21K,719K
1482,Sajan Saini,May 2019,13K,459K
1483,Doug Roble,April 2019,20K,697K
1484,Matt Walker,April 2019,450K,15M
1485,Michael Arntfield,October 2018,490,16K
1486,Kay Almere Read,May 2019,52K,1.7M
1487,Sabine Doebel,December 2018,135K,4.5M
1488,Wajahat Ali,April 2019,66K,2.2M
1489,Halla Tómasdóttir and Bryn Freedman,February 2019,73K,2.4M
1490,Shunan Teng,May 2019,154K,5.1M
1491,Eric Liu,April 2019,58K,1.9M
1492,Kirsti Abbott,September 2016,462,15K
1493,Yuko Munakata,April 2019,22K,754K
1494,Amber M. Yates,May 2019,33K,1.1M
1495,Ivan Poupyrev,April 2019,18K,607K
1496,Denice Frohman,May 2019,9.9K,330K
1497,Guy Harvey,March 2019,1K,35K
1498,Es Devlin,April 2019,20K,673K
1499,Joanne Chory,April 2019,64K,2.1M
1500,Iseult Gillespie,April 2019,22K,761K
1501,Michele Wucker,February 2019,75K,2.5M
1502,Yana Buhrer Tavanier,December 2018,56K,1.8M
1503,Hannah Gadsby,April 2019,95K,3.1M
1504,Oliver Elfenbaum,April 2019,182K,6M
1505,Elizabeth Dunn,April 2019,123K,4.1M
1506,Daniel Finkel,April 2019,79K,2.6M
1507,Kim Gorgens,June 2018,103K,3.4M
1508,Silvia Moreno-García,April 2019,58K,1.9M
1509,Sajan Saini,April 2019,24K,814K
1510,Christian Moro,April 2019,138K,4.6M
1511,Michelle Brown,April 2019,27K,925K
1512,Tomás Chor,April 2019,39K,1.3M
1513,Leah Georges,April 2018,78K,2.6M
1514,David R. Liu,April 2019,70K,2.3M
1515,Romain Lacombe,April 2018,55K,1.8M
1516,Danielle N. Lee,April 2019,61K,2M
1517,Sheperd Doeleman,April 2019,108K,3.6M
1518,Jack Dorsey,April 2019,70K,2.3M
1519,Sarvesh Subramanian,March 2019,1.2K,42K
1520,Amanda Gorman,November 2018,60K,2M
1521,Carole Cadwalladr,April 2019,129K,4.3M
1522,Christoph Keplinger,December 2018,16K,556K
1523,Chika Okoro,April 2016,35K,1.1M
1524,Harald Eia,April 2016,61K,2M
1525,Maria Golubeva,June 2016,677,22K
1526,Kakenya Ntaiya,November 2018,59K,1.9M
1527,Rana Abdelhamid,January 2019,58K,1.9M
1528,Kenny Coogan,April 2019,52K,1.7M
1529,Kashfia Rahman,February 2019,71K,2.3M
1530,Keith Kirkland,December 2018,54K,1.8M
1531,Levon Biss,December 2018,202,6.7K
1532,Nora McInerny,November 2018,182K,6M
1533,Jean-Baptiste P. Koehl,April 2019,23K,793K
1534,Eve Pearlman,January 2019,91K,3M
1535,Yuko Morita,March 2015,1.4K,49K
1536,Christopher Robichaud,April 2017,1.3K,44K
1537,Rosalind Picard,November 2018,60K,2M
1538,M Jackson,April 2019,13K,464K
1539,Muhammed Idris,December 2018,54K,1.8M
1540,WorkLife with Adam Grant,April 2019,578,19K
1541,Helen Marriage,November 2018,11K,375K
1542,Stacie Bosley,April 2019,156K,5.2M
1543,Kimberly Noble,January 2019,70K,2.3M
1544,Tim Seibles,April 2019,13K,455K
1545,Alexander MacDonald,November 2017,53K,1.7M
1546,Chuck Murry,November 2018,60K,2M
1547,Nora Brown,January 2019,9K,301K
1548,Iseult Gillespie,March 2019,42K,1.4M
1549,Samy Nour Younes,December 2018,59K,1.9M
1550,Alice Gorman,October 2018,1.5K,52K
1551,Fatima AlZahra'a Alatraktchi,October 2018,58K,1.9M
1552,David Ian Howe,March 2019,79K,2.6M
1553,Víctor Demaría Pesce,October 2016,438,14K
1554,Virginia Wotring,April 2017,801,26K
1555,Moriba Jah,October 2016,478,15K
1556,Frans von der Dunk,October 2016,533,17K
1557,Rebecca Brachman,April 2017,71K,2.3M
1558,Pazit Cahlon and Alex Gendler,March 2019,66K,2.2M
1559,Esha Alwani,November 2018,15K,520K
1560,Marjan van Aubel,December 2018,27K,900K
1561,Iseult Gillespie,March 2019,42K,1.4M
1562,Olympia Della Flora,January 2019,74K,2.4M
1563,Noah Wilson-Rich,June 2018,57K,1.9M
1564,Pedro Brugarolas,March 2019,8.1K,270K
1565,Amanda Williams,November 2018,10K,352K
1566,Daniel Finkel,March 2019,174K,5.8M
1567,Phil Plait,June 2018,57K,1.9M
1568,Kriti Sharma,March 2018,68K,2.2M
1569, Crush Club,November 2018,5.3K,179K
1570,Valentin Hammoudi,March 2019,38K,1.2M
1571,Thomas Curran,November 2018,90K,3M
1572,Jordan Raskopoulos,June 2017,57K,1.9M
1573,Olivia Remes,March 2017,115K,3.8M
1574,Sarah T. Stewart,February 2019,93K,3.1M
1575,Lillian Faderman,March 2019,6.7K,225K
1576,Jenna Weiner,February 2019,684,22K
1577,Tom Thum and Matthew Broadhurst,June 2018,14K,469K
1578,Nikki Sanchez,November 2018,4.1K,139K
1579,Nick Pizzo,March 2019,13K,437K
1580,Maisie Williams,February 2019,142K,4.7M
1581,Yvonne van Amerongen,November 2018,57K,1.9M
1582,Eugenia Cheng,July 2018,17K,589K
1583,Iseult Gillespie,March 2019,44K,1.4M
1584,Raphael Rose,November 2018,9.6K,321K
1585,Aparna Pallavi,December 2018,651,21K
1586,T. Morgan Dixon and Vanessa Garrison,April 2018,60K,2M
1587,Dina Zielinski,October 2017,57K,1.9M
1588,Damion Searls,March 2019,194K,6.4M
1589,César Hidalgo,April 2018,1.1K,39K
1590,César Hidalgo,April 2018,66K,2.2M
1591,Michelle Mehrtens,March 2019,12K,426K
1592,Majd Mashharawi,November 2018,48K,1.6M
1593,Fernando Salem,October 2016,7.2K,243K
1594,Caro Verbeek,April 2016,772,25K
1595,Dr. Turi King,October 2016,2.4K,82K
1596,Keith Lowe,November 2014,3.7K,125K
1597,Juliet Brophy,March 2018,73K,2.4M
1598,Jordana Moore Saggese,February 2019,27K,900K
1599,Farida Nabourema,November 2018,54K,1.8M
1600,Pat Crowley,January 2019,435,14K
1601,Karl Skjonnemand,November 2018,52K,1.7M
1602,Daniel Finkel,February 2019,103K,3.4M
1603,Lindy Lou Isonhood,November 2018,52K,1.7M
1604,Ayana Jamieson and Moya Bailey,February 2019,10K,350K
1605,Peggy Weil,November 2018,151,5K
1606,Ronald Rael,December 2018,49K,1.6M
1607,Dolores Huerta,November 2018,117K,3.9M
1608,Christina Greer,February 2019,12K,404K
1609,Ashweetha Shetty,November 2018,65K,2.1M
1610,Ilan Stavans,October 2018,53K,1.7M
1611,David Lunney,November 2018,36K,1.2M
1612,Liz Kleinrock,January 2019,68K,2.2M
1613,Iseult Gillespie,January 2019,9.9K,332K
1614,Jeanne Pinder,December 2018,62K,2M
1615,Venus Keus,February 2019,60K,2M
1616,Roy Bahat and Bryn Freedman,November 2018,65K,2.1M
1617,Angela Oguntala,April 2016,9.1K,306K
1618,Andrew Peek,October 2015,3.6K,120K
1619,Graham Worthy,June 2017,382,12K
1620,Yannick Roudaut,January 2013,11K,391K
1621,Michael Benton,April 2017,3.8K,127K
1622,Lindiwe Mazibuko,December 2015,5.8K,196K
1623,Juan Enriquez,November 2018,63K,2.1M
1624,Anne Gaskett,February 2019,15K,512K
1625,Aja Monet and phillip agnew,November 2018,99K,3.3M
1626,Glenn Cantave,December 2018,172,5.7K
1627,Steven Petrow,January 2019,56K,1.8M
1628,Christina Greer,February 2019,29K,991K
1629,Dropbox,February 2019,947,31K
1630,P.J. Parmar,June 2018,58K,1.9M
1631,Mathias Basner,November 2018,66K,2.2M
1632,Michael S. A. Graziano,February 2019,36K,1.2M
1633,Schuyler Bailar,March 2018,706,23K
1634,Shad Begum,November 2018,48K,1.6M
1635,Anirudh Sharma,October 2018,16K,562K
1636,Stefan Al,February 2019,67K,2.2M
1637,Julian Burschka,November 2018,70K,2.3M
1638,Danielle R. Moss,November 2018,60K,2M
1639,Iseult Gillespie,February 2019,27K,923K
1640,Sarah Barmak,October 2016,76K,2.5M
1641,Christina Greer,February 2019,31K,1M
1642,Juliana Delgado Lopera,January 2019,2.2K,73K
1643,Laura Bates,December 2013,42K,1.4M
1644,Matt Beane,November 2018,57K,1.9M
1645,Patty McCord,February 2019,109K,3.6M
1646,Thea Holcomb,September 2015,9K,300K
1647,Sophia Wallace,October 2014,31K,1M
1648,Terri Conley,April 2016,8.7K,291K
1649,David Puts,April 2014,7.8K,262K
1650,Pere Estupinyà,October 2016,19K,649K
1651,Ruby Sales,September 2018,53K,1.7M
1652,Jennifer Verduin,January 2019,55K,1.8M
1653,Leland Melvin,November 2018,55K,1.8M
1654,Emily Quinn,November 2018,82K,2.7M
1655,Kasha Patel,November 2018,633,21K
1656,Marian Wright Edelman,November 2018,43K,1.4M
1657,Melinda Babits,December 2017,254,8.4K
1658,Sean Davis,September 2017,61K,2M
1659,Greta Thunberg,November 2018,181K,6M
1660,Daniel Finkel,January 2019,80K,2.6M
1661,Soraya Chemaly,November 2018,73K,2.4M
1662,Nicaila Matthews Okome,January 2019,72K,2.4M
1663,Tim Harford,November 2018,160K,5.3M
1664,Mai Lan,September 2018,5.3K,179K
1665,Andrea M. Henle,January 2019,28K,946K
1666,Débora Mesa Molina,November 2018,18K,616K
1667,Jonathan Wilker,March 2018,11K,392K
1668,Mike Robbins,September 2013,19K,653K
1669,Tiana Epps-Johnson,November 2018,46K,1.5M
1670,Iseult Gillespie,January 2019,78K,2.6M
1671,Kotchakorn Voraakhom,November 2018,57K,1.9M
1672,Amy Price Azano,November 2016,828,27K
1673,Nathalia Holt,October 2015,1K,36K
1674,Priyanka Jain,January 2019,24K,805K
1675,Cecile Richards,November 2018,55K,1.8M
1676, LADAMA,April 2018,5.7K,192K
1677,Casey Gerald,December 2018,66K,2.2M
1678,Akash Manoj,November 2018,58K,1.9M
1679,Anne F. Broadbridge,January 2019,55K,1.8M
1680,Katharine Wilkinson,November 2018,59K,1.9M
1681,Iseult Gillespie,January 2019,200K,6.6M
1682,Monique W. Morris,November 2018,57K,1.9M
1683,Scott Williams,November 2018,263,8.7K
1684,Renzo Vitale,November 2018,119,3.9K
1685,Kathy Vinokurov,November 2018,830,27K
1686,Daniel Sherling,November 2018,272,9K
1687,Doreen Koenning,November 2018,480,16K
1688,Sarah Klein,November 2018,236,7.8K
1689,Lars Jönsson,November 2018,75,2.5K
1690,Vikas Jaitely,November 2018,273,9.1K
1691,Boris Hesser,November 2018,148,4.9K
1692, Deutsche Philharmonie Merck,November 2018,40,1.3K
1693,Gunjan Bhardwaj,November 2018,385,12K
1694,George Blair-West,December 2017,117K,3.9M
1695,Helen M. Farrell,January 2019,21K,733K
1696,Tony Luciani,May 2018,19K,646K
1697,Matt Mullenweg,January 2019,93K,3.1M
1698,Maryn McKenna,December 2018,2K,67K
1699,Shohini Ghose,November 2018,139K,4.6M
1700,Alex Gendler,January 2019,89K,2.9M
1701,Karissa Sanbonmatsu,November 2018,78K,2.6M
1702,Danae Wolfe,November 2018,1.6K,53K
1703,Renzo Vitale,November 2018,57K,1.9M
1704,Chiki Sarkar,October 2018,49K,1.6M
1705,Brooke Buddemeier and Jessica S. Wieder,January 2019,49K,1.6M
1706,Martin Danoesastro,October 2018,69K,2.3M
1707,Scott A. Mellor,January 2019,366K,12M
1708,Paula Stone Williams and Jonathan Williams,November 2018,50K,1.6M
1709,Wendy De La Rosa,January 2019,109K,3.6M
1710,Ronald Murray,November 2018,3.3K,110K
1711,Lýdia Machová,October 2018,403K,13M
1712,Eva-Maria Geigl,January 2019,198K,6.6M
1713,Elizabeth Lyle,October 2018,79K,2.6M
1714,Dan Finkel,November 2015,34K,1.1M
1715,Emmanuel Schanzer,November 2016,13K,436K
1716,Eddie Woo,June 2018,71K,2.3M
1717,Jan Rader,November 2018,57K,1.9M
1718,Ariana Curtis,November 2018,98K,3.2M
1719,Daniel Finkel,December 2018,78K,2.6M
1720,Dana Kanze,October 2017,62K,2M
1721,Rebecca Love,November 2018,3.5K,118K
1722,Alex Rosenthal,November 2018,13K,465K
1723,Darrick Hamilton,September 2018,49K,1.6M
1724,Eldridge Adams,December 2018,18K,627K
1725,The TED Interview,December 2018,7.8K,261K
1726,Neylan McBaine,September 2018,138,4.6K
1727,Eldra Jackson,November 2018,51K,1.7M
1728,Julie Chang,November 2018,111,3.7K
1729,Fiona Radford,December 2018,143K,4.7M
1730,Li Wei Tan,November 2018,17K,576K
1731,Michael C. Bush,December 2018,97K,3.2M
1732,Katharine Hayhoe,November 2018,118K,3.9M
1733,Paul S. Kindstedt,December 2018,358K,11M
