,author,date,likes,views
5113,Graham Hawkes,February 2005,13K,436K
5114,Robert Wright,October 2009,9.6K,321K
5115,Robert Thurman,October 2009,11K,371K
5116,Feisal Abdul Rauf,October 2009,18K,606K
5117,James Forbes,October 2009,7.9K,264K
5118,Dayananda Saraswati,October 2009,14K,476K
5119,Jackie Tabick,October 2009,6.8K,228K
5120,Newton Aduaka,June 2007,12K,418K
5121,Zach Kaplan + Keith Schacht,February 2005,13K,461K
5122,Rives,February 2008,58K,1.9M
5123,Jared Diamond,February 2003,88K,2.9M
5124,Kristen Ashburn,February 2003,14K,496K
5125,Mihaly Csikszentmihalyi,February 2004,205K,6.8M
5126,Paul MacCready,February 1998,7.1K,239K
5127,John Hodgman,February 2008,71K,2.3M
5128,Dean Ornish,February 2004,49K,1.6M
5129,Virginia Postrel,February 2004,12K,433K
5130,Paola Antonelli,December 2007,12K,400K
5131,Garrett Lisi,February 2008,61K,2M
5132,James Burchfield,February 2003,26K,877K
5133,Steven Johnson,February 2003,12K,415K
5134,Doris Kearns Goodwin,February 2008,62K,2M
5135,David Perry,February 2006,41K,1.3M
5136,James Nachtwey,October 2008,14K,481K
5137,Liz Diller,December 2007,24K,810K
5138,Noah Feldman,February 2003,13K,461K
5139,Stefan Sagmeister,February 2008,31K,1M
5140,Rodney Brooks,February 2003,21K,710K
5141,Steven Pinker,February 2003,49K,1.6M
5142,Caleb Chung,December 2007,14K,476K
5143,Laura Trice,February 2008,88K,2.9M
5144,Philip Zimbardo,February 2008,231K,7.7M
5145,Marvin Minsky,February 2003,19K,639K
5146,David S. Rose,March 2007,43K,1.4M
5147,Eve Ensler,July 2005,39K,1.3M
5148,Jonathan Haidt,March 2008,125K,4.1M
5149,Ann Cooper,December 2007,49K,1.6M
5150,Keith Bellows,February 2002,6.7K,225K
5151,David Gallo,February 1998,34K,1.1M
5152,Brewster Kahle,December 2007,16K,555K
5153,Irwin Redlener,February 2008,24K,802K
5154,Jane Goodall,June 2007,32K,1M
5155,Jonathan Drori,February 2007,35K,1.1M
5156,Peter Hirshberg,December 2007,8.8K,294K
5157,Peter Diamandis,July 2005,17K,590K
5158,Paul Rothemund,February 2008,24K,825K
5159,Einstein the Parrot,February 2006,93K,3.1M
5160,Ory Okolloh,June 2007,12K,426K
5161,Sugata Mitra,February 2007,58K,1.9M
5162,John Q. Walker,December 2007,11K,386K
5163,Nellie McKay,February 2008,25K,841K
5164,Ian Dunbar,December 2007,38K,1.2M
5165,Lennart Green,February 2005,179K,5.9M
5166,David Griffin,February 2008,44K,1.4M
5167,Patricia Burchat,February 2008,49K,1.6M
5168,Bruno Bowden + Rufus Cappadocia,February 2008,13K,435K
5169,Robert Lang,February 2008,84K,2.8M
5170,Kwabena Boahen,June 2007,22K,749K
5171,Kevin Kelly,December 2007,56K,1.8M
5172,Reed Kroloff,February 2003,9.8K,328K
5173,Jonathan Harris,December 2007,27K,923K
5174,Louise Leakey,February 2008,26K,892K
